STT,Bố cục,Script,Định dạng,Mã cảnh,Thời lượng (tính hàm),Thời lượng dự kiến,Mô tả hình ảnh,Text hiển thị,File đính kèm,,,,,,,,,,
52,,"
Hãy cùng phân loại nhịp sàn thành 4 loại:
- Đầu tiên là nhịp sàn theo năm: 
+ Trong năm, Shopee có các tháng cao điểm gọi là Mega Sale, bao gồm tháng 3, 6, 9, 11, 12 và Mega Tết.
+ Nhà bán hàng nên cân nhắc đầu tư về phần hiển thị để tiếp cận và kéo thêm traffic về gian hàng.


",Slideshow,S52,0.3,0.5,https://prnt.sc/me6fNknldscj,,,,,,,,,,,,
53,,"
'- Thứ hai là nhịp sàn theo tháng:
+ Trong tháng có 3-4 chiến dịch chính, bao gồm: 
+) Ngày mùng 1 (Sale đầu tháng) -> Chỉ diễn ra từ tháng 7 đến tháng 12.
+) Ngày đôi (Sale D-Day)
+) Ngày 15 (Sale giữa tháng)
+) Ngày 25 (Sale lương về) 
+ Trong đó,D-Day là ngày có doanh thu mạnh nhất với mức tăng 7-10 lần so với ngày thường. Các chiến dịch khác thì có mức độ tăng trưởng từ 2-3 lần doanh thu theo ngày.",Slideshow,S53,0.5,0.5,https://prnt.sc/U9McEZpqgOCz,,,,,,,,,,,,
54,,"- Thứ ba là nhịp sàn theo tuần:
+ Thứ 2, thứ 4 và thứ 6 là các ngày có các chương trình thúc đẩy sale từ sàn.
+ Doanh số tại các ngày này có xu hướng tăng 1,2 đến 1,5 lần so với ngày thường",Slideshow,S54,0.3,0.5,https://prnt.sc/xWoJXnFTc9PL,,,,,,,,,,,,
55,,"- Cuối cùng là nhịp sàn theo ngày:
+ Các khung giờ mua sắm cao điểm hay còn gọi là khung giờ vàng, bao gồm: 0 giờ, 2 giờ, 9 giờ, 12 giờ, 15 giờ, 20 giờ và 24 giờ.
+Trong đó, khung giờ 0 đến 2 giờ là mạnh nhất với lượt traffic cao.",Slideshow,S55,0.3,0.5,https://prnt.sc/r8tBrR8bo--8,,,,,,,,,,,,
56,4.2 Nhịp gian hàng,"Tuy dựa trên nhịp sàn chung của Shopee chiếm đa số nhưng khi báo cáo về một gian hàng hoặc một ngành hàng cụ thể, bạn phải có những đánh giá đặc thù riêng dựa trên dữ liệu đã có của ngành hàng hoặc gian hàng đó.

",Slideshow,S56,0.3,0.5,,"Khi báo cáo về một gian hàng hoặc một ngành hàng cụ thể, bạn phải có những đánh giá đặc thù riêng dựa trên dữ liệu đã có của ngành hàng hoặc gian hàng đó.",,,,,,,,,,,
57,,"Ví dụ: Vào ngày D-day:
- Thị trường chung: doanh thu ngày tăng 7 đến 10 lần.
- Ngành hàng Mẹ và Bé: doanh thu ngày có thể tăng 20-40 lần.
-> Nguyên nhân của số liệu này bắt nguồn từ hành vi săn sale và mua tích số lượng lớn, dẫn đến CR và AOV tăng đột biến, từ đó thúc đẩy Doanh thu tăng.",Slideshow,S57,0.4,0.5,,"Vào ngày D-Day:
- Thị trường chung: doanh thu ngày tăng 7 đến 10 lần.
- Ngành hàng Mẹ và Bé: doanh thu ngày tăng 20-40 lần.

Hiển thị infographic bên dưới:
Hành vi săn sale và mua tích số lượng lớn => CR và AOV tăng đột biến => Doanh thu tăng
",,,,,,,,,,,
C. KẾT THÚC KHÓA HỌC,,,,,,,,,,,,,,,,,,,
58,Tóm tắt,"Chúc mừng bạn đã hoàn thành khóa học Cơ bản về kinh doanh trên Shopee với 4 học phần bổ ích đã cung cấp cho bạn kiến thức cần thiết để bắt đầu kinh doanh trên trên nền tảng Shopee.
",Slideshow,S58,0.2,0.5,,,,,,,,,,,,,
59,,Hãy theo dõi sơ đồ trên màn hình để tóm tắt lại kiến thức của khóa học này nhé!,Slideshow,S59,0.1,0.5,Thiết kế thông tin bên cột text thành infographic,"1.Tổng quan thị trường Shopee: 
- Hiểu rõ thị trường thương mại điện tử nói chung;
- Những cơ hội và thách thức khi kinh doanh trên Shopee;
- Xác định tính phù hợp, tiềm năng phù hợp của sản phẩm và định hướng kinh doanh của nhãn hàng trên Shopee.
2. Công thức kinh doanh hiệu quả:
- Nắm vững công thức tính GMV;
- Hiểu về các yếu tố thành phần: traffic, AOV, CR và CRR.
3. Cơ cấu doanh thu và chi phí:
- Khám phá cách xây dựng và tối ưu cơ cấu doanh thu, quản lý chi phí;
- Nắm tổng quan cách lên kế hoạch cơ bản từ hoạt động tác động tới các chỉ số đó và tạo ra doanh thu cho gian hàng.
4. Nhịp sàn và nhịp gian hàng:
- Tối ưu chi phí và thúc đẩy doanh thu;
- Thúc đẩy tăng trưởng bền vững.",,,,,,,,,,,
60,Lời kết,Chúc bạn tích lũy được nhiều kiến thức và có một trải nghiệm bổ ích trong khóa học Cơ bản về kinh doanh trên Shopee. Xin chào và hẹn gặp lại.,Slideshow,S60,0.2,0.5,Scene kết thúc,,,,,,,,,,,,
,,,,,17.5,30.0,,,,,,,,,,,,,
